x,y,z,vx,vy,vz
446.100098,446.100098,446.100098,1.000038,1.000038,1.000038
447.100098,447.100098,447.100098,1.000038,1.000038,1.000038
448.100098,448.100098,448.100098,1.000038,1.000038,1.000038
449.100098,449.100098,449.100098,1.000037,1.000037,1.000037
450.100098,450.100098,450.100098,1.000037,1.000037,1.000037
451.100098,451.100098,451.100098,1.000037,1.000037,1.000037
452.100098,452.100098,452.100098,1.000037,1.000037,1.000037
453.100098,453.100098,453.100098,1.000037,1.000037,1.000037
454.100098,454.100098,454.100098,1.000037,1.000037,1.000037
455.100098,455.100098,455.100098,1.000037,1.000037,1.000037
456.100098,456.100098,456.100098,1.000037,1.000037,1.000037
457.100098,457.100098,457.100098,1.000037,1.000037,1.000037
458.100098,458.100098,458.100098,1.000037,1.000037,1.000037
459.100098,459.100098,459.100098,1.000037,1.000037,1.000037
460.100098,460.100098,460.100098,1.000037,1.000037,1.000037
461.100098,461.100098,461.100098,1.000037,1.000037,1.000037
462.100098,462.100098,462.100098,1.000036,1.000036,1.000036
